name_id,old_name,new_name
500167,borges de medeiros,"de Medeiros, Borges"
110854,boris n. ponomarev,"N. Ponomarev, Boris"
500168,boulitreau fragoso,"Fragoso, Boulitreau"
101650,brendan bracken,"Bracken, Brendan"
500169,breno borges fortes,"Borges Fortes, Breno"
107439,bruno kreisky,"Kreisky, Bruno"
105554,bryce n. harlow,"N. Harlow, Bryce"
500170,bueno brandão,"Brandão, Bueno"
500171,bueno do prado,"do Prado, Bueno"
500172,burle marx,"Marx, Burle"
116109,c. d. sherman,"D. Sherman, C."
109150,c. e. miller,"e. Miller, C."
102724,c. f. coleman,"F. Coleman, C."
101222,c. fred bergsten,"Fred Bergsten, C."
500173,c. h. adams,"H. Adams, C."
114187,c. h. m. waldock,"H. M. Waldock, C."
107939,c. k. liang,"K. Liang, C."
500174,c. k. yen,"K. Yen, C."
115927,c. nomura,"Nomura, C."
106106,c. peter hope,"Peter Hope, C."
116194,c. r. thompson,"R. Thompson, C."
114541,c. v. whitney,C. V. Whitney
500175,café filho,"Filho, Café"
500176,caio de alcântara machado,"de Alcântara Machado, Caio"
500177,caio tácito,"Tácito, Caio"
102375,camille chamoun,"Chamoun, Camille"
500178,camilo calazans,"Calazans, Camilo"
500179,camilo teixeira da costa,"Teixeira da Costa, Camilo"
500180,campos sales,"Sales, Campos"
500181,canrobert pereira da costa,"Pereira da Costa, Canrobert"
112064,carl w. schmidt,"W. Schmidt, Carl"
108042,carlos a. lleras restrepo,"A. Lleras Restrepo, Carlos"
500182,carlos alberto da fontoura,"Alberto da Fontoura, Carlos"
500183,carlos alberto pereira,"Alberto Pereira, Carlos"
500184,carlos alberto torres,"Alberto Torres, Carlos"
101237,carlos alfredo bernardes,"Alfredo Bernardes, Carlos"
110547,carlos andres perez,"Andres Perez, Carlos"
100559,carlos arias navarro,"Arias Navarro, Carlos"
500185,carlos augusto,"Augusto, Carlos"
500186,carlos augusto santos neves,"Augusto Santos Neves, Carlos"
500187,carlos barreto,"Barreto, Carlos"
500188,carlos castelo branco,"Castelo Branco, Carlos"
500189,carlos chagas,"Chagas, Carlos"
500190,carlos chagas filho,"Chagas Filho, Carlos"
500191,carlos costa,"Costa, Carlos"
500192,carlos de almeida,"de Almeida, Carlos"
500193,carlos de laet,"de Laet, Carlos"
500194,carlos de meira mattos,"de Meira Mattos, Carlos"
500195,carlos de moraes,"de Moraes, Carlos"
500196,carlos dos santos,"dos Santos, Carlos"
500197,carlos duarte,"Duarte, Carlos"
500198,carlos figueiredo,"Figueiredo, Carlos"
500199,carlos galvão,"Galvão, Carlos"
104698,carlos garcia,"Garcia, Carlos"
115508,carlos garcía bedoya,"García Bedoya, Carlos"
500201,carlos gomes,"Gomes, Carlos"
500202,carlos heitor cony,"Heitor Cony, Carlos"
111554,carlos humberto romero,"Humberto Romero, Carlos"
106351,carlos ibañez del campo,"Ibañez Del Campo, Carlos"
107537,carlos lacerda,"Lacerda, Carlos"
111294,carlos lleras restrepo,"Lleras Restrepo, Carlos"
108114,carlos lopez guevara,"Lopez Guevara, Carlos"
500204,carlos luz,"Luz, Carlos"
500205,carlos macedo,"Macedo, Carlos"
500206,carlos magalhães,"Magalhães, Carlos"
500207,carlos manini rios,"Manini Rios, Carlos"
500208,carlos maximiliano,"Maximiliano, Carlos"
500209,carlos medeiros,"Medeiros, Carlos"
500210,carlos menem,"Menem, Carlos"
115902,carlos muñiz,"Muñiz, Carlos"
110132,carlos ortiz de rozas,"Ortiz de Rozas, Carlos"
111561,carlos p. romulo,"P. Romulo, Carlos"
500211,carlos pena filho,"Pena Filho, Carlos"
500212,carlos perez,"Perez, Carlos"
115304,carlos r. cavandoli,"R. Cavandoli, Carlos"
500213,carlos ribeiro,"Ribeiro, Carlos"
500214,carlos sant'anna,"Sant'Anna, Carlos"
500215,carlos santana,"Santana, Carlos"
111922,carlos sanz de santamaria,"Sanz de Santamaria, Carlos"
500216,carlos scliar,"Scliar, Carlos"
500217,carlos veiga,"Veiga, Carlos"
500218,carneiro leão,"Leão, Carneiro"
500219,carneiro ribeiro,"Ribeiro, Carneiro"
500220,carvalho pinto,"Pinto, Carvalho"
500221,cassiano ricardo,"Ricardo, Cassiano"
500222,castro alves,"Alves, Castro"
500223,castro e silva,"e Silva, Castro"
500224,castro madero,"Madero, Castro"
500225,castro neves,"Neves, Castro"
500226,celso amorim,"Amorim, Celso"
103503,celso diniz,"Diniz, Celso"
500227,celso furtado,"Furtado, Celso"
500228,celso kelly,"Kelly, Celso"
500229,celso lafer,"Lafer, Celso"
500230,celso mendonça,"Mendonça, Celso"
500231,chagas freitas,"Freitas, Chagas"
105867,chaim herzog,"Herzog, Chaim"
113986,charles a. vanik,"A. Vanik, Charles"
101645,charles boyer,"Boyer, Charles"
103284,charles de gaulle,"de Gaulle, Charles"
106634,charles e. johnson,"e. Johnson, Charles"
108407,charles h. malik,"H. Malik, Charles"
112111,charles l. schultze,"L. Schultze, Charles"
107188,charles p. kindleberger,"P. Kindleberger, Charles"
106513,cheddi b. jagan,"B. Jagan, Cheddi"
102460,chen yi,"Yi, Chen"
102517,chodron de courcel,"de Courcel, Chodron"
500232,chou en lai,"En Lai, Chou"
115911,christopher a. nascimento,"A. Nascimento, Christopher"
102569,chu te,"Te, Chu"
114861,chusei yamada,"Yamada, Chusei"
102663,clark m. clifford,"M. Clifford, Clark"
500233,claudio lembo,"Lembo, Claudio"
500234,claudius ceccon,"Ceccon, Claudius"
111735,claus w. ruser,"W. Ruser, Claus"
106872,clemens kapuuo,"Kapuuo, Clemens"
114978,clement j. zablocki,"J. Zablocki, Clement"
500235,cláudio coutinho,"Coutinho, Cláudio"
500236,cláudio garcia de sousa,"Garcia de Sousa, Cláudio"
500237,clóvis bevilacqua,"Bevilacqua, Clóvis"
500238,clóvis pestana,"Pestana, Clóvis"
500239,coelho branco,"Branco, Coelho"
500240,condessa pereira carneiro,"Pereira Carneiro, Condessa"
500241,consuelo de abreu,"de Abreu, Consuelo"
500242,cordeiro de farias,"de Farias, Cordeiro"
500243,cordeiro guerra,"Guerra, Cordeiro"
106268,cordell hull,"Hull, Cordell"
115947,cornel pacoste,"Pacoste, Cornel"
108450,corneliu manescu,"Manescu, Corneliu"
500244,costa cavalcanti,"Cavalcanti, Costa"
500245,costa e silva,"e Silva, Costa"
500246,costa ribeiro,"Ribeiro, Costa"
500247,costa rodrigues,"Rodrigues, Costa"
500248,craveiro lopes,"Lopes, Craveiro"
500249,cristiano machado,"Machado, Cristiano"
500250,cristóvão colombo,"Colombo, Cristóvão"
500251,cunha bueno,"Bueno, Cunha"
113958,cyrus vance,"Vance, Cyrus"
500253,cássio de paula freitas,"de Paula Freitas, Cássio"
500254,câmara cascudo,"Cascudo, Câmara"
500255,cândido aragão,"Aragão, Cândido"
500256,cândido portinari,"Portinari, Cândido"
500257,cândido rondon,"Rondon, Cândido"
500258,célio borja,"Borja, Célio"
500259,célio silva,"Silva, Célio"
115566,césar augusto guzzetti,"Augusto Guzzetti, César"
500260,césar cals,"Cals, César"
500261,césar de andrade,"de Andrade, César"
500262,d. a. doran,"A. Doran, D."
500263,d. gregory,"Gregory, D."
107062,d. ketel,"Ketel, D."
100417,d. l. anderson,"L. Anderson, D."
109866,d. nikolic,"Nikolic, D."
103132,d. silvera da mota,"Silvera da Mota, D."
105470,dag hammarskjöld,"Hammarskjöld, Dag"
500264,daniel faraco,"Faraco, Daniel"
500265,daniel krieger,"Krieger, Daniel"
111063,daniel oduber quiros,"Oduber Quiros, Daniel"
110015,daniel oduber quirós,"Oduber Quirós, Daniel"
110371,daniel parker,"Parker, Daniel"
109485,daniel patrick moynihan,"Patrick Moynihan, Daniel"
500266,daniel tavares,"Tavares, Daniel"
500267,danilo venturini,"Venturini, Danilo"
500268,dantas romero,"Romero, Dantas"
104164,dante b. fascell,"B. Fascell, Dante"
500269,danton jobim,"Jobim, Danton"
500270,darcy lázaro,"Lázaro, Darcy"
500271,darcy ribeiro,"Ribeiro, Darcy"
500272,dario castro alves,"Castro Alves, Dario"
103295,daufresne de la chevalerie,"de a Chevalerie, Daufresne"
101324,david binder,"Binder, David"
106699,david c. jones,"C. Jones, David"
106744,david c. jordan,"C. Jordan, David"
107965,david e. lilienthal,"e. Lilienthal, David"
112492,david e. simcox,"e. Simcox, David"
110190,david owen,"Owen, David"
108261,david r. macdonald,"R. Macdonald, David"
111484,david rockefeller,"Rockefeller, David"
106700,david t. jones,"T. Jones, David"
109846,davidson nicol,"Nicol, Davidson"
106562,dawda kairaba jawara,"Kairaba Jawara, Dawda"
47,dean acheson,"Acheson, Dean"
111738,dean rusk,"Rusk, Dean"
500275,enzo debernardi,"Debernardi, Enzo"
500276,delfim neto,"Neto, Delfim"
105731,denis w. healey,"W. Healey, Denis"
500277,deodoro da fonseca,"da Fonseca, Deodoro"
500278,dias costa,"Costa, Dias"
500279,dias leite,"Leite, Dias"
112243,diaz serrano,"Serrano, Diaz"
500280,dilermando gomes monteiro,"Gomes Monteiro, Dilermando"
500281,dinah silveira de queiroz,"Silveira de Queiroz, Dinah"
500282,dinarte mariz,"Mariz, Dinarte"
500283,diogo nomura,"Nomura, Diogo"
500284,dirceu cardoso,"Cardoso, Dirceu"
500285,dirceu nogueira,"Nogueira, Dirceu"
111200,dixy lee ray,"Lee Ray, Dixy"
500286,diário de notícias,"de Notícias, Diário"
500287,djalma polli coelho,"Polli Coelho, Djalma"
